epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.5617,1.92497,3.91947,1.81681,0.00496,0.14199,0.05657,0.02869,2.21859,4.03009,1.72758,0.00015,0.00015,0.00015
2,79.2942,1.68018,2.99151,1.44695,0.00559,0.16161,0.0349,0.01136,2.25468,4.0954,1.74144,0.000311881,0.000311881,0.000311881
3,109.313,1.58136,2.10168,1.39256,0.00351,0.16001,0.0424,0.01703,2.24492,4.08088,1.80331,0.000473119,0.000473119,0.000473119
4,143.423,1.50192,1.93541,1.32328,0.02373,0.12379,0.02309,0.00599,2.27768,4.08253,1.71028,0.000633713,0.000633713,0.000633713
5,173.814,1.45435,1.8304,1.30973,0.40493,0.05266,0.03931,0.01324,2.40397,4.0942,1.94199,0.000793664,0.000793664,0.000793664
6,189.1,1.43286,1.74649,1.29287,0.55737,0.01801,0.06846,0.02882,2.50303,3.90024,1.83762,0.000952971,0.000952971,0.000952971
7,203.879,1.42308,1.76582,1.28518,0.56031,0.05337,0.06937,0.02247,2.54374,3.83862,1.89226,0.00111163,0.00111163,0.00111163
8,219.771,1.37752,1.59319,1.27676,0.65954,0.05467,0.07834,0.03664,2.54251,3.65889,1.91435,0.00123268,0.00123268,0.00123268
9,236.043,1.37516,1.54742,1.24627,0.62772,0.01867,0.04067,0.01618,2.74216,3.92912,2.21226,0.0012302,0.0012302,0.0012302
10,252.592,1.35761,1.49962,1.24175,0.25501,0.09616,0.06353,0.02328,2.69588,3.79504,2.08129,0.00122773,0.00122773,0.00122773
11,269.115,1.29566,1.49418,1.21141,0.20262,0.08504,0.06281,0.02318,2.47667,3.71074,1.8697,0.00122525,0.00122525,0.00122525
12,285.457,1.29183,1.40931,1.21046,0.15093,0.10296,0.07569,0.0299,2.43202,3.47415,1.72555,0.00122277,0.00122277,0.00122277
13,301.706,1.31456,1.38697,1.22029,0.19365,0.13356,0.08185,0.03235,2.50482,3.46727,1.77733,0.0012203,0.0012203,0.0012203
14,318.461,1.29459,1.32083,1.20269,0.29543,0.14463,0.11719,0.0637,2.35072,3.16133,1.70892,0.00121783,0.00121783,0.00121783
15,334.261,1.28293,1.30093,1.21399,0.25747,0.18938,0.14451,0.07,2.24593,2.86043,1.56185,0.00121535,0.00121535,0.00121535
16,355.287,1.22851,1.27563,1.17807,0.20624,0.19152,0.14387,0.05937,2.56976,2.6542,1.82042,0.00121287,0.00121287,0.00121287
17,373.916,1.22815,1.22493,1.18205,0.2862,0.23822,0.1807,0.08002,2.39706,2.49343,1.69516,0.0012104,0.0012104,0.0012104
18,392.731,1.26268,1.26688,1.20756,0.46916,0.26008,0.24079,0.11696,2.24192,2.38617,1.57696,0.00120793,0.00120793,0.00120793
19,411.409,1.25911,1.26102,1.21007,0.26704,0.22157,0.18061,0.09552,2.07414,2.54624,1.49907,0.00120545,0.00120545,0.00120545
20,429.102,1.20726,1.2341,1.1761,0.36858,0.25354,0.20273,0.10247,2.09123,2.46199,1.45853,0.00120298,0.00120298,0.00120298
