epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.8489,1.84685,3.0153,2.22476,0.5842,0.37003,0.40853,0.25448,1.28925,2.01014,1.45363,0.0003125,0.0003125,0.0003125
2,163.151,1.59183,1.72812,1.90392,0.52459,0.40343,0.37968,0.23674,1.29852,1.9054,1.45071,0.000636238,0.000636238,0.000636238
3,242.245,1.44626,1.54436,1.72493,0.65899,0.53049,0.55186,0.35375,1.31506,1.53543,1.417,0.000958689,0.000958689,0.000958689
