epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4799.86,1.11336,1.02187,1.12448,0.50713,0.31403,0.30658,0.1624,1.90405,1.84923,1.42842,0.00114853,0.00114853,0.00114853
43,4927.46,1.13769,1.07998,1.13492,0.50028,0.35607,0.34854,0.18224,2.00019,1.79619,1.43741,0.00114605,0.00114605,0.00114605
44,5055.68,1.14196,1.044,1.13927,0.54862,0.30442,0.341,0.17701,1.99491,1.92089,1.4795,0.00114357,0.00114357,0.00114357
45,5182.03,1.13302,1.06411,1.14342,0.52713,0.29016,0.33416,0.1902,1.85281,1.847,1.38623,0.0011411,0.0011411,0.0011411
46,5306.82,1.16379,1.02076,1.15808,0.47938,0.33562,0.34142,0.19184,1.94377,1.89214,1.4175,0.00113863,0.00113863,0.00113863
47,5432.91,1.08818,0.94229,1.12359,0.48922,0.32687,0.31496,0.16592,2.14121,2.0519,1.63196,0.00113615,0.00113615,0.00113615
48,5555.99,1.09853,0.94802,1.1276,0.52601,0.30626,0.3354,0.20181,1.85806,1.76799,1.38256,0.00113368,0.00113368,0.00113368
49,5677.69,1.13852,0.99364,1.13565,0.6051,0.32929,0.36561,0.21098,1.87328,1.69638,1.39056,0.0011312,0.0011312,0.0011312
50,5809.94,1.1206,0.9876,1.1273,0.55915,0.34687,0.37279,0.20121,1.86163,1.66554,1.38128,0.00112873,0.00112873,0.00112873
51,5944.83,1.14916,0.97749,1.1417,0.53755,0.31072,0.34399,0.1756,2.03643,1.82393,1.43566,0.00112625,0.00112625,0.00112625
52,6073.86,1.11661,1.01273,1.12675,0.51244,0.34268,0.36114,0.21495,1.80865,1.78965,1.36455,0.00112378,0.00112378,0.00112378
53,6205.93,1.09186,0.95625,1.13615,0.49266,0.37659,0.37874,0.21386,1.80967,1.77002,1.37006,0.0011213,0.0011213,0.0011213
54,6326.26,1.12165,0.92947,1.13764,0.51496,0.38961,0.36246,0.18659,1.84445,1.75345,1.35922,0.00111882,0.00111882,0.00111882
55,6432.99,1.11993,1.01067,1.12703,0.58896,0.34429,0.37139,0.20776,1.77095,1.66066,1.34339,0.00111635,0.00111635,0.00111635
56,6540.55,1.07101,0.95263,1.10537,0.58142,0.34909,0.37202,0.19411,1.78963,1.61807,1.34985,0.00111388,0.00111388,0.00111388
57,6642.29,1.06836,0.94427,1.09996,0.60063,0.34927,0.34278,0.18164,1.81112,1.78625,1.36719,0.0011114,0.0011114,0.0011114
58,6745.11,1.06708,0.88474,1.11049,0.69809,0.28667,0.37185,0.20334,1.74218,1.79746,1.29445,0.00110892,0.00110892,0.00110892
59,6845.36,1.08803,0.91125,1.12512,0.45225,0.3597,0.35818,0.17714,1.89109,1.68817,1.35654,0.00110645,0.00110645,0.00110645
60,6947.21,1.08853,0.95874,1.11945,0.65525,0.33234,0.39917,0.22876,1.82282,1.7143,1.34076,0.00110397,0.00110397,0.00110397
61,7048.86,1.08769,0.92228,1.12748,0.58685,0.31004,0.34626,0.18192,1.81101,1.80526,1.33572,0.0011015,0.0011015,0.0011015
62,7148.87,1.14375,0.96989,1.15416,0.54345,0.31024,0.35379,0.20237,1.75139,1.84075,1.29133,0.00109903,0.00109903,0.00109903
63,7251.02,1.04736,0.8883,1.10854,0.68586,0.34492,0.3819,0.20951,1.74879,1.83916,1.28168,0.00109655,0.00109655,0.00109655
64,7352.68,1.08115,0.91607,1.11507,0.64392,0.35152,0.37169,0.20965,1.74294,1.77814,1.29794,0.00109408,0.00109408,0.00109408
65,7455.08,1.04541,0.88397,1.09795,0.59182,0.39674,0.39994,0.21859,1.88948,1.68947,1.35465,0.0010916,0.0010916,0.0010916
66,7556.03,1.04773,0.85753,1.08974,0.56612,0.36808,0.40064,0.22015,1.82279,1.69556,1.33267,0.00108913,0.00108913,0.00108913
67,7658.38,1.03471,0.86639,1.09366,0.5409,0.37743,0.4027,0.21867,1.83329,1.59138,1.34648,0.00108665,0.00108665,0.00108665
68,7760.29,1.06192,0.84473,1.10309,0.6845,0.35187,0.41865,0.23365,1.71429,1.57867,1.3018,0.00108417,0.00108417,0.00108417
69,7861.6,1.08235,0.84481,1.10842,0.6196,0.3814,0.39728,0.21074,1.85478,1.64117,1.38966,0.0010817,0.0010817,0.0010817
70,7963.62,1.09175,0.86417,1.13266,0.53236,0.34465,0.36359,0.20092,1.89016,1.68476,1.3889,0.00107923,0.00107923,0.00107923
71,8065.41,0.99895,0.84938,1.07718,0.60692,0.3148,0.3464,0.19755,1.82946,1.72678,1.36273,0.00107675,0.00107675,0.00107675
72,8167.29,1.07758,0.88232,1.11704,0.57621,0.35704,0.37533,0.21828,1.80082,1.72254,1.36493,0.00107427,0.00107427,0.00107427
73,8268.92,1.06718,0.85927,1.1069,0.69621,0.3578,0.43416,0.2468,1.71279,1.52025,1.29387,0.0010718,0.0010718,0.0010718
74,8370.49,1.04882,0.84254,1.10753,0.59133,0.41048,0.42029,0.23898,1.6807,1.59064,1.26515,0.00106933,0.00106933,0.00106933
75,8472.26,1.04375,0.85534,1.10402,0.591,0.35295,0.39975,0.23101,1.7394,1.69415,1.32159,0.00106685,0.00106685,0.00106685
76,8573.77,1.05408,0.83751,1.10257,0.55464,0.3715,0.38883,0.223,1.84212,1.74274,1.37637,0.00106437,0.00106437,0.00106437
77,8677.68,1.04178,0.86149,1.09525,0.50436,0.36555,0.37295,0.20997,1.79039,1.72926,1.33479,0.0010619,0.0010619,0.0010619
78,8794.95,1.02882,0.81741,1.09558,0.59336,0.33868,0.359,0.20296,1.85001,1.87752,1.35263,0.00105942,0.00105942,0.00105942
79,8908.89,1.03782,0.83657,1.0911,0.58611,0.35139,0.40347,0.22628,1.72552,1.6191,1.29359,0.00105695,0.00105695,0.00105695
80,9009.93,1.05067,0.84504,1.10639,0.58653,0.38192,0.41677,0.23961,1.67819,1.56438,1.28465,0.00105448,0.00105448,0.00105448
81,9110.54,1.0477,0.82562,1.08618,0.58398,0.37949,0.40896,0.24614,1.67064,1.59575,1.2729,0.001052,0.001052,0.001052
82,9211.95,1.00342,0.79191,1.07494,0.60208,0.3546,0.37655,0.2114,1.91869,1.861,1.41659,0.00104952,0.00104952,0.00104952
83,9313.44,1.04531,0.79624,1.09213,0.52684,0.37127,0.39943,0.22399,1.74816,1.61911,1.28678,0.00104705,0.00104705,0.00104705
84,9414.46,1.04714,0.80611,1.09754,0.56852,0.41924,0.4314,0.25354,1.64709,1.56432,1.2494,0.00104458,0.00104458,0.00104458
85,9515.15,1.00516,0.7748,1.06968,0.62351,0.44969,0.47015,0.25682,1.65358,1.42796,1.23753,0.0010421,0.0010421,0.0010421
86,9616.45,1.03592,0.81674,1.10537,0.74312,0.33819,0.4262,0.23189,1.86324,1.55874,1.3965,0.00103962,0.00103962,0.00103962
87,9720.06,1.0438,0.82457,1.09827,0.62693,0.41374,0.4487,0.27189,1.62579,1.44088,1.25618,0.00103715,0.00103715,0.00103715
88,9820.72,1.00596,0.81129,1.07641,0.58918,0.39374,0.42712,0.26113,1.62127,1.51905,1.26654,0.00103468,0.00103468,0.00103468
89,9923.84,1.00854,0.79476,1.07373,0.52802,0.42187,0.42353,0.25791,1.71578,1.53585,1.29731,0.0010322,0.0010322,0.0010322
90,10025.7,1.02787,0.78396,1.09985,0.61127,0.31606,0.37117,0.20848,1.79044,1.91952,1.28739,0.00102972,0.00102972,0.00102972
91,10127.2,1.01569,0.78446,1.08765,0.61893,0.36097,0.39571,0.23527,1.72572,1.7578,1.31636,0.00102725,0.00102725,0.00102725
92,10228.7,0.99937,0.78099,1.07435,0.51537,0.38054,0.38628,0.23281,1.70041,1.65271,1.3087,0.00102478,0.00102478,0.00102478
93,10330,1.03932,0.79826,1.07763,0.56552,0.40106,0.40574,0.24127,1.71171,1.66213,1.30886,0.0010223,0.0010223,0.0010223
94,10434.5,1.02101,0.79875,1.07737,0.66461,0.38457,0.43069,0.25337,1.61714,1.61482,1.25488,0.00101983,0.00101983,0.00101983
95,10539.5,1.02377,0.77672,1.0935,0.6743,0.37308,0.44713,0.25695,1.68329,1.56747,1.24998,0.00101735,0.00101735,0.00101735
96,10646.1,1.01491,0.74677,1.07689,0.65921,0.37285,0.41938,0.26334,1.5497,1.73915,1.20761,0.00101488,0.00101488,0.00101488
97,10752.2,0.99235,0.76263,1.07521,0.62487,0.38629,0.41376,0.24739,1.70172,1.6567,1.28542,0.0010124,0.0010124,0.0010124
98,10854.1,0.98483,0.77341,1.05738,0.58515,0.36726,0.41626,0.22198,1.68285,1.53867,1.25774,0.00100993,0.00100993,0.00100993
99,10955.2,0.99607,0.79722,1.05688,0.70688,0.34765,0.42216,0.24861,1.64204,1.49223,1.26426,0.00100745,0.00100745,0.00100745
100,11056.6,1.00955,0.75854,1.07255,0.59609,0.43467,0.4556,0.25682,1.68692,1.55702,1.26404,0.00100497,0.00100497,0.00100497
101,11157.8,0.97598,0.72835,1.0697,0.69305,0.42002,0.45809,0.27073,1.59412,1.59855,1.22224,0.0010025,0.0010025,0.0010025
102,11260.3,0.99955,0.7349,1.06673,0.49206,0.37364,0.38611,0.2308,1.67521,1.65351,1.27564,0.00100003,0.00100003,0.00100003
103,11361.3,1.01651,0.77351,1.07531,0.70424,0.36459,0.40118,0.23942,1.58525,1.75364,1.22899,0.00099755,0.00099755,0.00099755
104,11463.2,0.96511,0.73165,1.05243,0.55016,0.37744,0.40641,0.23612,1.67513,1.62463,1.26339,0.000995075,0.000995075,0.000995075
105,11564.8,0.99522,0.75158,1.07637,0.61,0.39978,0.40931,0.23532,1.71033,1.72237,1.31097,0.0009926,0.0009926,0.0009926
106,11665.6,0.98362,0.73407,1.08043,0.63148,0.35835,0.40481,0.21637,1.7524,1.64597,1.30792,0.000990125,0.000990125,0.000990125
107,11767.6,0.95239,0.71569,1.04392,0.67031,0.40772,0.44232,0.26784,1.60211,1.51809,1.2491,0.00098765,0.00098765,0.00098765
108,11869.5,0.98836,0.73197,1.06457,0.55678,0.4275,0.43518,0.25411,1.66593,1.50407,1.25544,0.000985175,0.000985175,0.000985175
109,11971.6,1.00223,0.75729,1.07347,0.58296,0.40768,0.44051,0.25609,1.62295,1.50576,1.22001,0.0009827,0.0009827,0.0009827
