epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1006.37,1.06445,0.85326,1.37268,0.81003,0.4716,0.557,0.35387,1.24468,1.60097,1.42981,0.00114853,0.00114853,0.00114853
43,1021.66,1.13128,0.86306,1.40448,0.76313,0.54135,0.61175,0.4217,1.11801,1.41063,1.31622,0.00114605,0.00114605,0.00114605
44,1035.75,1.08,0.86699,1.36623,0.79067,0.59267,0.64949,0.4291,1.13102,1.28385,1.30042,0.00114357,0.00114357,0.00114357
45,1050.73,1.05031,0.82372,1.34896,0.81315,0.53754,0.64572,0.40563,1.26179,1.27377,1.36359,0.0011411,0.0011411,0.0011411
46,1066.12,1.08047,0.8303,1.36519,0.64024,0.60205,0.60682,0.39276,1.15807,1.50935,1.30433,0.00113863,0.00113863,0.00113863
47,1080.38,1.12036,0.84209,1.40668,0.74622,0.56146,0.68448,0.43993,1.14814,1.32094,1.25994,0.00113615,0.00113615,0.00113615
48,1094.86,1.08401,0.81963,1.37772,0.7365,0.59227,0.65878,0.45679,1.11154,1.30476,1.27369,0.00113368,0.00113368,0.00113368
49,1110.82,1.05179,0.82087,1.35554,0.77094,0.56458,0.65771,0.43666,1.11672,1.39994,1.28631,0.0011312,0.0011312,0.0011312
50,1124.91,1.04135,0.78784,1.3631,0.69615,0.58128,0.68256,0.46825,1.1238,1.25719,1.25486,0.00112873,0.00112873,0.00112873
51,1140.22,1.0561,0.79225,1.3522,0.75274,0.57383,0.65726,0.44895,1.14225,1.35343,1.31088,0.00112625,0.00112625,0.00112625
52,1154.1,1.02781,0.75425,1.32869,0.78534,0.45904,0.55518,0.38296,1.15883,1.57015,1.31929,0.00112378,0.00112378,0.00112378
53,1169.26,1.06585,0.76884,1.34565,0.7568,0.51039,0.57053,0.38887,1.17644,1.686,1.32895,0.0011213,0.0011213,0.0011213
54,1183.59,1.05011,0.77158,1.35714,0.77556,0.63748,0.68387,0.44731,1.19329,1.25723,1.28939,0.00111882,0.00111882,0.00111882
55,1197.58,1.06385,0.76959,1.34419,0.77348,0.60196,0.68032,0.43742,1.17718,1.31363,1.30491,0.00111635,0.00111635,0.00111635
56,1211.71,1.06126,0.77377,1.36726,0.69064,0.69283,0.70946,0.45173,1.12919,1.23657,1.27564,0.00111388,0.00111388,0.00111388
57,1225.57,1.06423,0.76687,1.34911,0.65554,0.60591,0.6471,0.44069,1.14307,1.26269,1.27436,0.0011114,0.0011114,0.0011114
58,1240.09,1.06005,0.75797,1.3577,0.64183,0.61412,0.6596,0.42761,1.14229,1.3375,1.26436,0.00110892,0.00110892,0.00110892
