epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.5229,1.91482,3.49386,2.33912,0.54484,0.34879,0.35003,0.223,1.32981,2.38759,1.52682,0.0001375,0.0001375,0.0001375
2,41.5808,1.74034,2.11044,2.08897,0.51334,0.43742,0.42061,0.24727,1.43189,1.93985,1.56393,0.000286931,0.000286931,0.000286931
3,58.0636,1.50872,1.63847,1.815,0.52584,0.42245,0.41481,0.2492,1.23383,2.11506,1.41149,0.000435768,0.000435768,0.000435768
4,74.6358,1.40257,1.51224,1.72543,0.60024,0.53364,0.58287,0.37813,1.18946,1.45383,1.36211,0.00058401,0.00058401,0.00058401
5,90.4498,1.37082,1.4589,1.64098,0.62227,0.44344,0.51906,0.30099,1.40465,1.83125,1.46659,0.000731659,0.000731659,0.000731659
6,106.421,1.36632,1.43411,1.6423,0.74836,0.46506,0.59084,0.385,1.20953,1.57006,1.35867,0.000878714,0.000878714,0.000878714
7,122.404,1.3343,1.35454,1.65248,0.60462,0.48348,0.55636,0.34536,1.29313,1.73247,1.38975,0.00102517,0.00102517,0.00102517
8,139.026,1.28015,1.2674,1.60231,0.5968,0.50026,0.56017,0.36561,1.18404,1.5345,1.37201,0.00117104,0.00117104,0.00117104
9,156.014,1.32725,1.27042,1.6326,0.58542,0.522,0.55352,0.34008,1.23226,1.47602,1.38402,0.0012302,0.0012302,0.0012302
10,172.743,1.31558,1.25308,1.60998,0.57404,0.52528,0.52486,0.31826,1.34058,1.88138,1.46417,0.00122773,0.00122773,0.00122773
11,188.298,1.26735,1.22236,1.58442,0.66018,0.58645,0.59847,0.3824,1.26007,1.46033,1.42619,0.00122525,0.00122525,0.00122525
12,203.921,1.28869,1.21782,1.56815,0.65346,0.53612,0.5817,0.37321,1.2411,1.41704,1.35478,0.00122277,0.00122277,0.00122277
13,220.404,1.25788,1.22369,1.56081,0.65106,0.50447,0.57888,0.34967,1.24999,1.40176,1.45467,0.0012203,0.0012203,0.0012203
14,236.321,1.25735,1.15856,1.54531,0.71186,0.43324,0.54603,0.34458,1.25702,1.54727,1.41732,0.00121783,0.00121783,0.00121783
15,252.766,1.25676,1.15295,1.58488,0.70476,0.48685,0.59355,0.38614,1.15681,1.44229,1.33904,0.00121535,0.00121535,0.00121535
16,268.273,1.18766,1.13005,1.50814,0.53639,0.5636,0.58904,0.36,1.20867,1.43567,1.40454,0.00121287,0.00121287,0.00121287
17,284.278,1.25704,1.18539,1.56627,0.76367,0.54215,0.61042,0.38571,1.16458,1.5627,1.35602,0.0012104,0.0012104,0.0012104
18,301.285,1.21938,1.0999,1.5279,0.57736,0.49048,0.52643,0.35021,1.23551,1.78475,1.39537,0.00120793,0.00120793,0.00120793
19,316.086,1.21259,1.10716,1.51566,0.61163,0.46624,0.54136,0.35058,1.22779,1.58494,1.40889,0.00120545,0.00120545,0.00120545
20,332.8,1.18732,1.08384,1.48314,0.54696,0.61073,0.62297,0.37825,1.22435,1.46143,1.35847,0.00120298,0.00120298,0.00120298
21,349.522,1.22129,1.10757,1.52014,0.76475,0.58694,0.66184,0.41999,1.28443,1.28652,1.45715,0.0012005,0.0012005,0.0012005
22,366.772,1.20077,1.04071,1.51744,0.74824,0.54833,0.61561,0.3757,1.33128,1.3124,1.54727,0.00119802,0.00119802,0.00119802
23,383.37,1.19313,1.05411,1.49001,0.6222,0.61948,0.64807,0.37066,1.43343,1.33803,1.49222,0.00119555,0.00119555,0.00119555
24,398.948,1.19075,1.03676,1.4944,0.71142,0.48159,0.58776,0.345,1.41544,1.42658,1.58167,0.00119308,0.00119308,0.00119308
25,414.256,1.15197,1.016,1.453,0.64798,0.60609,0.63361,0.38183,1.23346,1.46318,1.38952,0.0011906,0.0011906,0.0011906
26,429.7,1.18191,1.03338,1.48579,0.66696,0.57805,0.65954,0.38459,1.24478,1.3445,1.41284,0.00118812,0.00118812,0.00118812
